variety,crop,plant_type,season,sow_window,seeding_method,start,plant_out,days_to_transplant,days_to_maturity,packet_type,water_needs,planting_pattern,plants_per_linear_ft,yield_per_plant,harvest_info,supplier,url,notes,yield_low,yield_high
Mexican Sunflower,Sunflowers,flower,warm-season,Mar–Jun,direct_sow,,,,,single,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/mexican-sunflower-seeds/,,,
Benary's Giant,Zinnias,flower,warm-season,Mar–Jun,direct_sow,,,,,single,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/benarys-giant-zinnia-seeds/,,,
Dahlia Mix,Zinnias,flower,warm-season,Mar–Jun,direct_sow,,,,,mixed,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/dahlia-mix-zinnia-seeds/,,,
Sensation Mix,Cosmos,flower,warm-season,Mar–Jun,direct_sow,,,,,mixed,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/sensation-mix-cosmos-seeds/,,,
Candy Stripe,Cosmos,flower,warm-season,Mar–Jun,direct_sow,,,,,single,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/candy-stripe-cosmos-seeds/,,,
Sparky,Marigolds,flower,warm-season,Mar–Jun,direct_sow,,,,,single,low-medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-sparky-marigold-seeds/,,,
Queen Sophia,Marigolds,flower,warm-season,Mar–Jun,direct_sow,,,,,single,low-medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-queen-sophia-marigold-seeds/,,,
Nasturtium - Alaska Mix,Other Annuals,flower,warm-season,Mar–Jun,direct_sow,,,,,mixed,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/alaska-mix-nasturtium-seeds/,,,
Strawflower - Apricot,Other Annuals,flower,warm-season,Mar–Jun,direct_sow,,,,,single,low-medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-apricot-strawflower-seeds/,,,
Gaillardia - Double Sunset,Other Annuals,flower,warm-season,Mar–Jun,direct_sow,,,,,mixed,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/double-sunset-gaillardia-seeds/,,,
Scabiosa - SoCal Mix,Other Annuals,flower,warm-season,Mar–Jun,direct_sow,,,,,mixed,low-medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-socal-mix-scabiosa-seeds/,,,
Morning Glory - Color Mix,Vines,flower,warm-season,Mar–Jun,direct_sow,,,,,mixed,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/color-mix-morning-glory-seeds/,,,
Western Yarrow,California Natives,flower,perennial,,direct_sow,,,,,single,low,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/western-yarrow-seeds/,,,
Scarlet Flax,California Natives,flower,perennial,,direct_sow,,,,,single,low,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/scarlet-flax-seeds/,,,
Arroyo Lupine,California Natives,flower,perennial,,direct_sow,,,,,single,low,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/arroyo-lupine-seeds/,,,
California Blue Bell,California Natives,flower,perennial,,direct_sow,,,,,single,low,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/california-blue-bell-wildflower-seeds/,,,
Narrowleaf Milkweed,California Natives,flower,perennial,,direct_sow,,,,,single,low,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/narrowleaf-milkweed-seeds/,,,
Hollyhock - Halo,Other Perennials,flower,perennial,,direct_sow,,,,,single,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/halo-hollyhock-seeds/,,,
Echinacea/Coneflower - Paradiso Tall Mix,Other Perennials,flower,perennial,,direct_sow,,,,,mixed,low-medium,,,,,JS,https://www.johnnyseeds.com/flowers/echinacea-coneflower/paradiso-tall-mix-echinacea-seed-4919.html,,,
Wild Bergamot/Monarda,Other Perennials,flower,perennial,,direct_sow,,,,,single,low-medium,,,,,JS,https://www.johnnyseeds.com/flowers/monarda-bee-balm/wild-bergamot-monarda-seed-827.html,,,
Southwest Wildflower Mix,Wildflower Mixes,flower,perennial,,direct_sow,,,,,mixed,low,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/southwest-wildflower-seed-mix/,,,
Butterfly Garden Mix,Wildflower Mixes,flower,perennial,,direct_sow,,,,,mixed,low,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/butterfly-garden-seed-mix/,,,
Bee Balm - Lemon Mint,Bee Balm,flower,perennial,,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/lemon-mint-bee-balm-seeds/,,,
Hyssop - Anise,Hyssop,flower,perennial,,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/edible-flowers/hyssop-anise-seeds/,,,
