crop,variety,supplier,plant_type,season,water,sow,method,transplant_after,mature_after,rows/pattern,count_ft,count_sq_ft,lo_yield,hi_yield,harvest_info,packet_type,notes,url
Cosmos,Sensation Mix,SDSC,flower,warm-season,low-medium,Mar–Jun,direct_sow,,,,,,,,,mixed,,https://sandiegoseedcompany.com/product/flowers/sensation-mix-cosmos-seeds/
Cosmos,Candy Stripe,SDSC,flower,warm-season,low-medium,Mar–Jun,direct_sow,,,,,,,,,single,,https://sandiegoseedcompany.com/product/flowers/candy-stripe-cosmos-seeds/
Marigolds,Sparky,SDSC,flower,warm-season,low-medium,Mar–Jun,direct_sow,,,,,,,,,single,organic,https://sandiegoseedcompany.com/product/flowers/organic-sparky-marigold-seeds/
Marigolds,Queen Sophia,SDSC,flower,warm-season,low-medium,Mar–Jun,direct_sow,,,,,,,,,single,organic,https://sandiegoseedcompany.com/product/flowers/organic-queen-sophia-marigold-seeds/
Other Annuals,Nasturtium - Alaska Mix,SDSC,flower,warm-season,low-medium,Mar–Jun,direct_sow,,,,,,,,,mixed,,https://sandiegoseedcompany.com/product/flowers/alaska-mix-nasturtium-seeds/
Other Annuals,Strawflower - Apricot,SDSC,flower,warm-season,low-medium,Mar–Jun,direct_sow,,,,,,,,,single,organic,https://sandiegoseedcompany.com/product/flowers/organic-apricot-strawflower-seeds/
Other Annuals,Gaillardia - Double Sunset,SDSC,flower,warm-season,low-medium,Mar–Jun,direct_sow,,,,,,,,,mixed,,https://sandiegoseedcompany.com/product/flowers/double-sunset-gaillardia-seeds/
Other Annuals,Scabiosa - SoCal Mix,SDSC,flower,warm-season,low-medium,Mar–Jun,direct_sow,,,,,,,,,mixed,organic,https://sandiegoseedcompany.com/product/flowers/organic-socal-mix-scabiosa-seeds/
Vines,Morning Glory - Color Mix,SDSC,flower,warm-season,low-medium,Mar–Jun,direct_sow,,,,,,,,,mixed,,https://sandiegoseedcompany.com/product/flowers/color-mix-morning-glory-seeds/
California Natives,Western Yarrow,SDSC,flower,perennial,low,,direct_sow,,,,,,,,,single,,https://sandiegoseedcompany.com/product/flowers/western-yarrow-seeds/
California Natives,Scarlet Flax,SDSC,flower,perennial,low,,direct_sow,,,,,,,,,single,,https://sandiegoseedcompany.com/product/flowers/scarlet-flax-seeds/
California Natives,Arroyo Lupine,SDSC,flower,perennial,low,,direct_sow,,,,,,,,,single,,https://sandiegoseedcompany.com/product/flowers/arroyo-lupine-seeds/
California Natives,California Blue Bell,SDSC,flower,perennial,low,,direct_sow,,,,,,,,,single,,https://sandiegoseedcompany.com/product/flowers/california-blue-bell-wildflower-seeds/
California Natives,Narrowleaf Milkweed,SDSC,flower,perennial,low,,direct_sow,,,,,,,,,single,,https://sandiegoseedcompany.com/product/flowers/narrowleaf-milkweed-seeds/
Other Perennials,Hollyhock - Halo,SDSC,flower,perennial,low-medium,,direct_sow,,,,,,,,,single,,https://sandiegoseedcompany.com/product/flowers/halo-hollyhock-seeds/
Other Perennials,Echinacea/Coneflower - Paradiso Tall Mix,JS,flower,perennial,low-medium,,direct_sow,,,,,,,,,mixed,,https://www.johnnyseeds.com/flowers/echinacea-coneflower/paradiso-tall-mix-echinacea-seed-4919.html
Other Perennials,Wild Bergamot/Monarda,JS,flower,perennial,low-medium,,direct_sow,,,,,,,,,single,,https://www.johnnyseeds.com/flowers/monarda-bee-balm/wild-bergamot-monarda-seed-827.html
Wildflower Mixes,Southwest Wildflower Mix,SDSC,flower,perennial,low,,direct_sow,,,,,,,,,mixed,,https://sandiegoseedcompany.com/product/flowers/southwest-wildflower-seed-mix/
Wildflower Mixes,Butterfly Garden Mix,SDSC,flower,perennial,low,,direct_sow,,,,,,,,,mixed,,https://sandiegoseedcompany.com/product/flowers/butterfly-garden-seed-mix/
Bee Balm,Bee Balm - Lemon Mint,SDSC,flower,perennial,medium,,direct_sow,,,,,,,,,single,,https://sandiegoseedcompany.com/product/flowers/lemon-mint-bee-balm-seeds/
Hyssop,Hyssop - Anise,SDSC,flower,perennial,medium,,direct_sow,,,,,,,,,single,,https://sandiegoseedcompany.com/product/flowers/edible-flowers/hyssop-anise-seeds/
